ID,name,type,batch,ch_in,dim_in,ch_out,dim_out,macc,comp,add,div,exp,activation,param
1,data,data,1,3,224x224,3,224x224,0,0,0,0,0,150528,0
2,conv1,Convolution,1,3,224x224,96,112x112,177020928,0,0,0,0,1204224,14112
3,relu1,ReLU,1,96,112x112,96,112x112,0,1204224,0,0,0,1204224,0
4,norm1,LRN,1,96,112x112,96,112x112,3612672,0,1204224,2408448,1204224,1204224,2
5,pool1,Pooling,1,96,112x112,96,57x57,0,2807136,0,0,0,311904,0
6,conv2,Convolution,1,96,57x57,256,29x29,516710400,0,0,0,0,215296,614400
7,relu2,ReLU,1,256,29x29,256,29x29,0,215296,0,0,0,215296,0
8,norm2,LRN,1,256,29x29,256,29x29,645888,0,215296,430592,215296,215296,2
9,pool2,Pooling,1,256,29x29,256,15x15,0,518400,0,0,0,57600,0
10,conv3,Convolution,1,256,15x15,384,15x15,199065600,0,0,0,0,86400,884736
11,relu3,ReLU,1,384,15x15,384,15x15,0,86400,0,0,0,86400,0
12,conv4,Convolution,1,384,15x15,384,15x15,298598400,0,0,0,0,86400,1327104
13,relu4,ReLU,1,384,15x15,384,15x15,0,86400,0,0,0,86400,0
14,conv5,Convolution,1,384,15x15,256,15x15,199065600,0,0,0,0,57600,884736
15,relu5,ReLU,1,256,15x15,256,15x15,0,57600,0,0,0,57600,0
16,rpn_conv1,Convolution,1,256,15x15,256,15x15,132710400,0,0,0,0,57600,589824
17,rpn_relu1,ReLU,1,256,15x15,256,15x15,0,57600,0,0,0,57600,0
18,rpn_bbox_pred,Convolution,1,256,15x15,36,15x15,2073600,0,0,0,0,8100,9216
19,rpn_cls_score,Convolution,1,256,15x15,18,15x15,1036800,0,0,0,0,4050,4608
20,rpn_cls_score_reshape,Reshape,1,18,15x15,2,15x135,0,0,0,0,0,0,0
21,rpn_cls_prob,Softmax,1,2,15x135,2,15x135,0,0,4050,4050,4050,4050,0
22,rpn_cls_prob_reshape,Reshape,1,2,15x135,18,15x15,0,0,0,0,0,0,0
23,im_info,implicit,?,?,?x?,?,?x?,0,0,0,0,0,0,0
24,proposal,Python,1,18,15x15,5,1x1,105900,4426725,289350,44850,4050,1500,0
25,rois,implicit,300,5,1x1,5,1x1,0,0,0,0,0,1500,0
26,roi_pool_conv5,ROIPooling,300,256,15x15,256,6x6,300,17280000,300,300,0,2764800,0
27,fc6,InnerProduct,300,256,6x6,4096,1x1,11324620800,0,0,0,0,1228800,37748736
28,relu6,ReLU,300,4096,1x1,4096,1x1,0,1228800,0,0,0,1228800,0
29,drop6,Dropout,300,4096,1x1,4096,1x1,0,1228800,0,0,0,1228800,0
30,fc7,InnerProduct,300,4096,1x1,4096,1x1,5033164800,0,0,0,0,1228800,16777216
31,relu7,ReLU,300,4096,1x1,4096,1x1,0,1228800,0,0,0,1228800,0
32,drop7,Dropout,300,4096,1x1,4096,1x1,0,1228800,0,0,0,1228800,0
33,bbox_pred,InnerProduct,300,4096,1x1,84,1x1,103219200,0,0,0,0,25200,344064
34,cls_score,InnerProduct,300,4096,1x1,21,1x1,25804800,0,0,0,0,6300,86016
35,cls_prob,Softmax,300,21,1x1,21,1x1,0,0,6300,6300,6300,6300,0
